country_iso3,year,risk_code,risk_band,source_engine,public_narrative
SDN,2024,ATROCITY_PRECURSOR,ORANGE,P7I-AMAR,Early-warning atrocity precursor risk requiring reinforced monitoring.
SSD,2024,ATROCITY_PRECURSOR,ORANGE,P7I-AMAR,Early-warning atrocity precursor risk requiring reinforced monitoring.
AGO,2024,ATROCITY_PRECURSOR,YELLOW,P7I-AMAR,Watchlist civilian protection risk requiring regular monitoring.
BDI,2024,ATROCITY_PRECURSOR,YELLOW,P7I-AMAR,Watchlist civilian protection risk requiring regular monitoring.
BEN,2024,ATROCITY_PRECURSOR,YELLOW,P7I-AMAR,Watchlist civilian protection risk requiring regular monitoring.
BFA,2024,ATROCITY_PRECURSOR,YELLOW,P7I-AMAR,Watchlist civilian protection risk requiring regular monitoring.
BWA,2024,ATROCITY_PRECURSOR,YELLOW,P7I-AMAR,Watchlist civilian protection risk requiring regular monitoring.
CAF,2024,ATROCITY_PRECURSOR,YELLOW,P7I-AMAR,Watchlist civilian protection risk requiring regular monitoring.
CIV,2024,ATROCITY_PRECURSOR,YELLOW,P7I-AMAR,Watchlist civilian protection risk requiring regular monitoring.
CMR,2024,ATROCITY_PRECURSOR,YELLOW,P7I-AMAR,Watchlist civilian protection risk requiring regular monitoring.
COD,2024,ATROCITY_PRECURSOR,YELLOW,P7I-AMAR,Watchlist civilian protection risk requiring regular monitoring.
COG,2024,ATROCITY_PRECURSOR,YELLOW,P7I-AMAR,Watchlist civilian protection risk requiring regular monitoring.
COM,2024,ATROCITY_PRECURSOR,YELLOW,P7I-AMAR,Watchlist civilian protection risk requiring regular monitoring.
CPV,2024,ATROCITY_PRECURSOR,YELLOW,P7I-AMAR,Watchlist civilian protection risk requiring regular monitoring.
DJI,2024,ATROCITY_PRECURSOR,YELLOW,P7I-AMAR,Watchlist civilian protection risk requiring regular monitoring.
DZA,2024,ATROCITY_PRECURSOR,YELLOW,P7I-AMAR,Watchlist civilian protection risk requiring regular monitoring.
EGY,2024,ATROCITY_PRECURSOR,YELLOW,P7I-AMAR,Watchlist civilian protection risk requiring regular monitoring.
ERI,2024,ATROCITY_PRECURSOR,YELLOW,P7I-AMAR,Watchlist civilian protection risk requiring regular monitoring.
ETH,2024,ATROCITY_PRECURSOR,YELLOW,P7I-AMAR,Watchlist civilian protection risk requiring regular monitoring.
GAB,2024,ATROCITY_PRECURSOR,YELLOW,P7I-AMAR,Watchlist civilian protection risk requiring regular monitoring.
GHA,2024,ATROCITY_PRECURSOR,YELLOW,P7I-AMAR,Watchlist civilian protection risk requiring regular monitoring.
GIN,2024,ATROCITY_PRECURSOR,YELLOW,P7I-AMAR,Watchlist civilian protection risk requiring regular monitoring.
GMB,2024,ATROCITY_PRECURSOR,YELLOW,P7I-AMAR,Watchlist civilian protection risk requiring regular monitoring.
GNB,2024,ATROCITY_PRECURSOR,YELLOW,P7I-AMAR,Watchlist civilian protection risk requiring regular monitoring.
GNQ,2024,ATROCITY_PRECURSOR,YELLOW,P7I-AMAR,Watchlist civilian protection risk requiring regular monitoring.
KEN,2024,ATROCITY_PRECURSOR,YELLOW,P7I-AMAR,Watchlist civilian protection risk requiring regular monitoring.
LBR,2024,ATROCITY_PRECURSOR,YELLOW,P7I-AMAR,Watchlist civilian protection risk requiring regular monitoring.
LBY,2024,ATROCITY_PRECURSOR,YELLOW,P7I-AMAR,Watchlist civilian protection risk requiring regular monitoring.
LSO,2024,ATROCITY_PRECURSOR,YELLOW,P7I-AMAR,Watchlist civilian protection risk requiring regular monitoring.
MAR,2024,ATROCITY_PRECURSOR,YELLOW,P7I-AMAR,Watchlist civilian protection risk requiring regular monitoring.
MDG,2024,ATROCITY_PRECURSOR,YELLOW,P7I-AMAR,Watchlist civilian protection risk requiring regular monitoring.
MLI,2024,ATROCITY_PRECURSOR,YELLOW,P7I-AMAR,Watchlist civilian protection risk requiring regular monitoring.
MOZ,2024,ATROCITY_PRECURSOR,YELLOW,P7I-AMAR,Watchlist civilian protection risk requiring regular monitoring.
MRT,2024,ATROCITY_PRECURSOR,YELLOW,P7I-AMAR,Watchlist civilian protection risk requiring regular monitoring.
MUS,2024,ATROCITY_PRECURSOR,YELLOW,P7I-AMAR,Watchlist civilian protection risk requiring regular monitoring.
MWI,2024,ATROCITY_PRECURSOR,YELLOW,P7I-AMAR,Watchlist civilian protection risk requiring regular monitoring.
NAM,2024,ATROCITY_PRECURSOR,YELLOW,P7I-AMAR,Watchlist civilian protection risk requiring regular monitoring.
NER,2024,ATROCITY_PRECURSOR,YELLOW,P7I-AMAR,Watchlist civilian protection risk requiring regular monitoring.
NGA,2024,ATROCITY_PRECURSOR,YELLOW,P7I-AMAR,Watchlist civilian protection risk requiring regular monitoring.
RWA,2024,ATROCITY_PRECURSOR,YELLOW,P7I-AMAR,Watchlist civilian protection risk requiring regular monitoring.
SEN,2024,ATROCITY_PRECURSOR,YELLOW,P7I-AMAR,Watchlist civilian protection risk requiring regular monitoring.
SLE,2024,ATROCITY_PRECURSOR,YELLOW,P7I-AMAR,Watchlist civilian protection risk requiring regular monitoring.
SOM,2024,ATROCITY_PRECURSOR,YELLOW,P7I-AMAR,Watchlist civilian protection risk requiring regular monitoring.
STP,2024,ATROCITY_PRECURSOR,YELLOW,P7I-AMAR,Watchlist civilian protection risk requiring regular monitoring.
SWZ,2024,ATROCITY_PRECURSOR,YELLOW,P7I-AMAR,Watchlist civilian protection risk requiring regular monitoring.
SYC,2024,ATROCITY_PRECURSOR,YELLOW,P7I-AMAR,Watchlist civilian protection risk requiring regular monitoring.
TCD,2024,ATROCITY_PRECURSOR,YELLOW,P7I-AMAR,Watchlist civilian protection risk requiring regular monitoring.
TGO,2024,ATROCITY_PRECURSOR,YELLOW,P7I-AMAR,Watchlist civilian protection risk requiring regular monitoring.
TUN,2024,ATROCITY_PRECURSOR,YELLOW,P7I-AMAR,Watchlist civilian protection risk requiring regular monitoring.
TZA,2024,ATROCITY_PRECURSOR,YELLOW,P7I-AMAR,Watchlist civilian protection risk requiring regular monitoring.
UGA,2024,ATROCITY_PRECURSOR,YELLOW,P7I-AMAR,Watchlist civilian protection risk requiring regular monitoring.
ZAF,2024,ATROCITY_PRECURSOR,YELLOW,P7I-AMAR,Watchlist civilian protection risk requiring regular monitoring.
ZMB,2024,ATROCITY_PRECURSOR,YELLOW,P7I-AMAR,Watchlist civilian protection risk requiring regular monitoring.
ZWE,2024,ATROCITY_PRECURSOR,YELLOW,P7I-AMAR,Watchlist civilian protection risk requiring regular monitoring.
SSD,2023,ATROCITY_PRECURSOR,ORANGE,P7I-AMAR,Early-warning atrocity precursor risk requiring reinforced monitoring.
AGO,2023,ATROCITY_PRECURSOR,YELLOW,P7I-AMAR,Watchlist civilian protection risk requiring regular monitoring.
