country_iso3,year,region_code,region_label,annual_direction,amar_risk_band,nb_pillars_observed,publication_status
AGO,2020,AFC,Afrique Centrale,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
AGO,2021,AFC,Afrique Centrale,IMPROVING,YELLOW,10,OFFICIAL_CONSOLIDATED
AGO,2022,AFC,Afrique Centrale,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
AGO,2023,AFC,Afrique Centrale,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
AGO,2024,AFC,Afrique Centrale,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
BDI,2020,AFE,Afrique de l'Est,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
BDI,2021,AFE,Afrique de l'Est,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
BDI,2022,AFE,Afrique de l'Est,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
BDI,2023,AFE,Afrique de l'Est,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
BDI,2024,AFE,Afrique de l'Est,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
BEN,2020,AFW,Afrique de l'Ouest,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
BEN,2021,AFW,Afrique de l'Ouest,IMPROVING,YELLOW,10,OFFICIAL_CONSOLIDATED
BEN,2022,AFW,Afrique de l'Ouest,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
BEN,2023,AFW,Afrique de l'Ouest,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
BEN,2024,AFW,Afrique de l'Ouest,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
BFA,2020,AFW,Afrique de l'Ouest,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
BFA,2021,AFW,Afrique de l'Ouest,IMPROVING,YELLOW,10,OFFICIAL_CONSOLIDATED
BFA,2022,AFW,Afrique de l'Ouest,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
BFA,2023,AFW,Afrique de l'Ouest,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
BFA,2024,AFW,Afrique de l'Ouest,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
BWA,2020,AFS,Afrique Australe,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
BWA,2021,AFS,Afrique Australe,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
BWA,2022,AFS,Afrique Australe,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
BWA,2023,AFS,Afrique Australe,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
BWA,2024,AFS,Afrique Australe,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
CAF,2020,AFC,Afrique Centrale,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
CAF,2021,AFC,Afrique Centrale,IMPROVING,YELLOW,10,OFFICIAL_CONSOLIDATED
CAF,2022,AFC,Afrique Centrale,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
CAF,2023,AFC,Afrique Centrale,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
CAF,2024,AFC,Afrique Centrale,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
CIV,2020,AFW,Afrique de l'Ouest,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
CIV,2021,AFW,Afrique de l'Ouest,IMPROVING,YELLOW,10,OFFICIAL_CONSOLIDATED
CIV,2022,AFW,Afrique de l'Ouest,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
CIV,2023,AFW,Afrique de l'Ouest,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
CIV,2024,AFW,Afrique de l'Ouest,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
CMR,2020,AFC,Afrique Centrale,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
CMR,2021,AFC,Afrique Centrale,IMPROVING,YELLOW,10,OFFICIAL_CONSOLIDATED
CMR,2022,AFC,Afrique Centrale,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
CMR,2023,AFC,Afrique Centrale,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
CMR,2024,AFC,Afrique Centrale,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
COD,2020,AFC,Afrique Centrale,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
COD,2021,AFC,Afrique Centrale,IMPROVING,YELLOW,10,OFFICIAL_CONSOLIDATED
COD,2022,AFC,Afrique Centrale,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
COD,2023,AFC,Afrique Centrale,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
COD,2024,AFC,Afrique Centrale,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
COG,2020,AFC,Afrique Centrale,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
COG,2021,AFC,Afrique Centrale,IMPROVING,YELLOW,10,OFFICIAL_CONSOLIDATED
COG,2022,AFC,Afrique Centrale,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
COG,2023,AFC,Afrique Centrale,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
COG,2024,AFC,Afrique Centrale,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
COM,2020,AFE,Afrique de l'Est,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
COM,2021,AFE,Afrique de l'Est,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
COM,2022,AFE,Afrique de l'Est,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
COM,2023,AFE,Afrique de l'Est,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
COM,2024,AFE,Afrique de l'Est,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
CPV,2020,AFW,Afrique de l'Ouest,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
CPV,2021,AFW,Afrique de l'Ouest,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
CPV,2022,AFW,Afrique de l'Ouest,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
CPV,2023,AFW,Afrique de l'Ouest,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
CPV,2024,AFW,Afrique de l'Ouest,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
DJI,2020,AFE,Afrique de l'Est,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
DJI,2021,AFE,Afrique de l'Est,IMPROVING,YELLOW,10,OFFICIAL_CONSOLIDATED
DJI,2022,AFE,Afrique de l'Est,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
DJI,2023,AFE,Afrique de l'Est,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
DJI,2024,AFE,Afrique de l'Est,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
DZA,2020,AFN,Afrique du Nord,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
DZA,2021,AFN,Afrique du Nord,IMPROVING,YELLOW,10,OFFICIAL_CONSOLIDATED
DZA,2022,AFN,Afrique du Nord,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
DZA,2023,AFN,Afrique du Nord,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
DZA,2024,AFN,Afrique du Nord,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
EGY,2020,AFN,Afrique du Nord,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
EGY,2021,AFN,Afrique du Nord,IMPROVING,YELLOW,10,OFFICIAL_CONSOLIDATED
EGY,2022,AFN,Afrique du Nord,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
EGY,2023,AFN,Afrique du Nord,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
EGY,2024,AFN,Afrique du Nord,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
ERI,2020,AFE,Afrique de l'Est,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
ERI,2021,AFE,Afrique de l'Est,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
ERI,2022,AFE,Afrique de l'Est,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
