country_iso3,reference_year,region_code,region_label,data_coverage_class,nb_pillars_observed,nb_pillars_accelerating,nb_pillars_progressing,nb_pillars_stable,nb_pillars_declining,nb_pillars_critical,sovereign_momentum,amar_risk_band
AGO,2024,AFC,Afrique Centrale,FULL_COVERAGE,10,1,5,2,0,2,POSITIVE_MOMENTUM,YELLOW
BDI,2024,AFE,Afrique de l'Est,FULL_COVERAGE,10,1,2,4,1,2,MIXED_MOMENTUM,YELLOW
BEN,2024,AFW,Afrique de l'Ouest,FULL_COVERAGE,10,0,3,2,3,2,NEGATIVE_MOMENTUM,YELLOW
BFA,2024,AFW,Afrique de l'Ouest,FULL_COVERAGE,10,2,0,3,2,3,NEGATIVE_MOMENTUM,YELLOW
BWA,2024,AFS,Afrique Australe,FULL_COVERAGE,10,1,1,4,1,3,NEGATIVE_MOMENTUM,YELLOW
CAF,2024,AFC,Afrique Centrale,FULL_COVERAGE,10,0,0,5,4,1,NEGATIVE_MOMENTUM,YELLOW
CIV,2024,AFW,Afrique de l'Ouest,FULL_COVERAGE,10,1,2,1,4,2,NEGATIVE_MOMENTUM,YELLOW
CMR,2024,AFC,Afrique Centrale,FULL_COVERAGE,10,0,2,1,5,2,NEGATIVE_MOMENTUM,YELLOW
COD,2024,AFC,Afrique Centrale,FULL_COVERAGE,10,1,1,3,2,3,NEGATIVE_MOMENTUM,YELLOW
COG,2024,AFC,Afrique Centrale,FULL_COVERAGE,10,1,1,3,0,5,NEGATIVE_MOMENTUM,YELLOW
COM,2024,AFE,Afrique de l'Est,FULL_COVERAGE,10,0,1,6,0,3,NEGATIVE_MOMENTUM,YELLOW
CPV,2024,AFW,Afrique de l'Ouest,FULL_COVERAGE,10,0,0,3,4,3,NEGATIVE_MOMENTUM,YELLOW
DJI,2024,AFE,Afrique de l'Est,FULL_COVERAGE,10,0,3,4,2,1,MIXED_MOMENTUM,YELLOW
DZA,2024,AFN,Afrique du Nord,FULL_COVERAGE,10,1,3,1,2,3,NEGATIVE_MOMENTUM,YELLOW
EGY,2024,AFN,Afrique du Nord,FULL_COVERAGE,10,1,1,1,2,5,NEGATIVE_MOMENTUM,YELLOW
ERI,2024,AFE,Afrique de l'Est,FULL_COVERAGE,10,2,2,3,0,3,POSITIVE_MOMENTUM,YELLOW
