country_iso3,year,pillar_code,region_code,trajectory_class,trajectory_signal,intervention_family_label,intervention_priority_class,pillar_direction,nb_indicators_observed
AGO,2020,PECO,AFC,PROGRESSING,PROGRESSION_SIGNAL,Diversification économique,PRIORITY_STANDARD,IMPROVEMENT,151
AGO,2020,PENV,AFC,CRITICAL,DECLINE_SIGNAL,Résilience environnementale,PRIORITY_CRITICAL,STRONG_DETERIORATION,106
AGO,2020,PGEO,AFC,STABLE,STABILITY_SIGNAL,Gouvernance géopolitique et stabilité,PRIORITY_STANDARD,STABLE,121
AGO,2020,PHUM,AFC,STABLE,STABILITY_SIGNAL,Capital humain,PRIORITY_STANDARD,STABLE,119
AGO,2020,PMIL,AFC,PROGRESSING,PROGRESSION_SIGNAL,Résilience sécuritaire,PRIORITY_STANDARD,IMPROVEMENT,117
AGO,2020,PMIN,AFC,PROGRESSING,PROGRESSION_SIGNAL,Chaîne de valeur minière,PRIORITY_STANDARD,IMPROVEMENT,406
AGO,2020,PMON,AFC,ACCELERATING,PROGRESSION_SIGNAL,Résilience monétaire et financière,PRIORITY_STANDARD,STRONG_IMPROVEMENT,99
AGO,2020,PNUM,AFC,PROGRESSING,PROGRESSION_SIGNAL,Souveraineté numérique,PRIORITY_STANDARD,IMPROVEMENT,111
AGO,2020,PRES,AFC,PROGRESSING,PROGRESSION_SIGNAL,Certification énergie-eau,PRIORITY_STANDARD,IMPROVEMENT,98
AGO,2020,PTRA,AFC,CRITICAL,DETERIORATION_ALERT,Transport et logistique,PRIORITY_CRITICAL,STRONG_DETERIORATION,149
AGO,2021,PECO,AFC,PROGRESSING,PROGRESSION_SIGNAL,Diversification économique,PRIORITY_STANDARD,IMPROVEMENT,151
AGO,2021,PENV,AFC,CRITICAL,DECLINE_SIGNAL,Résilience environnementale,PRIORITY_CRITICAL,STRONG_DETERIORATION,108
AGO,2021,PGEO,AFC,STABLE,STABILITY_SIGNAL,Gouvernance géopolitique et stabilité,PRIORITY_STANDARD,STABLE,123
AGO,2021,PHUM,AFC,STABLE,STABILITY_SIGNAL,Capital humain,PRIORITY_STANDARD,STABLE,119
AGO,2021,PMIL,AFC,PROGRESSING,PROGRESSION_SIGNAL,Résilience sécuritaire,PRIORITY_STANDARD,IMPROVEMENT,148
AGO,2021,PMIN,AFC,PROGRESSING,PROGRESSION_SIGNAL,Chaîne de valeur minière,PRIORITY_STANDARD,IMPROVEMENT,249
AGO,2021,PMON,AFC,ACCELERATING,ACCELERATION_SIGNAL,Résilience monétaire et financière,PRIORITY_STANDARD,STRONG_IMPROVEMENT,99
AGO,2021,PNUM,AFC,PROGRESSING,PROGRESSION_SIGNAL,Souveraineté numérique,PRIORITY_STANDARD,IMPROVEMENT,114
AGO,2021,PRES,AFC,PROGRESSING,PROGRESSION_SIGNAL,Certification énergie-eau,PRIORITY_STANDARD,IMPROVEMENT,98
AGO,2021,PTRA,AFC,CRITICAL,DETERIORATION_ALERT,Transport et logistique,PRIORITY_CRITICAL,STRONG_DETERIORATION,149
AGO,2022,PECO,AFC,PROGRESSING,PROGRESSION_SIGNAL,Diversification économique,PRIORITY_STANDARD,IMPROVEMENT,151
AGO,2022,PENV,AFC,CRITICAL,DETERIORATION_ALERT,Résilience environnementale,PRIORITY_CRITICAL,STRONG_DETERIORATION,154
AGO,2022,PGEO,AFC,STABLE,STABILITY_SIGNAL,Gouvernance géopolitique et stabilité,PRIORITY_STANDARD,STABLE,121
AGO,2022,PHUM,AFC,STABLE,STABILITY_SIGNAL,Capital humain,PRIORITY_STANDARD,STABLE,119
AGO,2022,PMIL,AFC,PROGRESSING,PROGRESSION_SIGNAL,Résilience sécuritaire,PRIORITY_STANDARD,IMPROVEMENT,148
AGO,2022,PMIN,AFC,PROGRESSING,PROGRESSION_SIGNAL,Chaîne de valeur minière,PRIORITY_STANDARD,IMPROVEMENT,375
AGO,2022,PMON,AFC,ACCELERATING,ACCELERATION_SIGNAL,Résilience monétaire et financière,PRIORITY_STANDARD,STRONG_IMPROVEMENT,130
AGO,2022,PNUM,AFC,PROGRESSING,PROGRESSION_SIGNAL,Souveraineté numérique,PRIORITY_STANDARD,IMPROVEMENT,111
AGO,2022,PRES,AFC,PROGRESSING,PROGRESSION_SIGNAL,Certification énergie-eau,PRIORITY_STANDARD,IMPROVEMENT,253
AGO,2022,PTRA,AFC,CRITICAL,DETERIORATION_ALERT,Transport et logistique,PRIORITY_CRITICAL,STRONG_DETERIORATION,180
AGO,2023,PECO,AFC,PROGRESSING,PROGRESSION_SIGNAL,Diversification économique,PRIORITY_STANDARD,IMPROVEMENT,151
AGO,2023,PENV,AFC,CRITICAL,DETERIORATION_ALERT,Résilience environnementale,PRIORITY_CRITICAL,STRONG_DETERIORATION,158
AGO,2023,PGEO,AFC,STABLE,STABILITY_SIGNAL,Gouvernance géopolitique et stabilité,PRIORITY_STANDARD,STABLE,122
AGO,2023,PHUM,AFC,STABLE,STABILITY_SIGNAL,Capital humain,PRIORITY_STANDARD,STABLE,143
AGO,2023,PMIL,AFC,PROGRESSING,PROGRESSION_SIGNAL,Résilience sécuritaire,PRIORITY_STANDARD,IMPROVEMENT,149
